Contig	Position	Length	Marker_id	Bias	P	CorrectedP	Signif
h2tg000053l	2712104	5037559	54197817	0.4	3.49746e-10	0.00330867	True
h2tg000053l	3259511	5037559	54136336	0.466667	2.58166e-11	2.4423e-4	True
h2tg000053l	3080744	5037559	53770724	0.722222	1e-16	9.46019e-10	True
h2tg000053l	3640920	5037559	52623404	0.633333	1e-16	9.46019e-10	True
h2tg000053l	3827604	5037559	52575613	0.755556	1e-16	9.46019e-10	True
h2tg000053l	2493543	5037559	51065292	0.488889	1.53511e-12	1.45224e-5	True
h2tg000053l	2887732	5037559	50273840	0.711111	1e-16	9.46019e-10	True
h2tg000053l	3952976	5037559	49848597	0.622222	1e-16	9.46019e-10	True
h2tg000053l	3236382	5037559	49655507	0.622222	1e-16	9.46019e-10	True
h2tg000053l	3435783	5037559	49640620	0.488889	4.24105e-13	4.01212e-6	True
h2tg000053l	2876736	5037559	49276179	0.466667	4.8278e-12	4.5672e-5	True
h2tg000053l	3854252	5037559	49274879	0.733333	1e-16	9.46019e-10	True
h2tg000053l	2532820	5037559	49225640	0.611111	2.22045e-16	2.10058e-9	True
h2tg000053l	3618521	5037559	48411002	0.655556	1e-16	9.46019e-10	True
h2tg000053l	2955556	5037559	48270762	0.6	1.11022e-16	1.05029e-9	True
h2tg000053l	3768553	5037559	48068993	0.411111	5.76324e-10	0.00545214	True
h2tg000053l	3637667	5037559	47909073	0.555556	8.9817e-14	8.49686e-7	True
h2tg000053l	2707923	5037559	47605388	0.755556	1e-16	9.46019e-10	True
h2tg000053l	3640781	5037559	47593104	0.422222	2.56933e-10	0.00243064	True
h2tg000053l	2911148	5037559	46905963	0.444444	1.34212e-11	1.26967e-4	True
h2tg000053l	3549087	5037559	45899292	0.655556	1e-16	9.46019e-10	True
h2tg000053l	3759432	5037559	45654668	0.477778	3.59487e-10	0.00340081	True
h2tg000053l	3735341	5037559	45437101	0.488889	1.53511e-12	1.45224e-5	True
h2tg000053l	2586887	5037559	45390405	0.633333	1e-16	9.46019e-10	True
h2tg000053l	3086828	5037559	45141225	0.688889	1e-16	9.46019e-10	True
h2tg000053l	3182360	5037559	45076523	0.777778	1e-16	9.46019e-10	True
h2tg000053l	3142131	5037559	45040357	0.722222	1e-16	9.46019e-10	True
h2tg000053l	3384248	5037559	45022285	0.411111	1.57498e-10	0.00148996	True
h2tg000053l	3071480	5037559	44805225	0.644444	1e-16	9.46019e-10	True
h2tg000053l	3732131	5037559	44740922	0.577778	7.77156e-16	7.35205e-9	True
h2tg000053l	2430779	5037559	44628680	0.688889	1e-16	9.46019e-10	True
h2tg000053l	2588749	5037559	44596817	0.511111	1.47845e-11	1.39864e-4	True
h2tg000053l	3488080	5037559	44507414	0.422222	1.38849e-10	0.00131354	True
h2tg000053l	2957972	5037559	44467346	0.622222	1e-16	9.46019e-10	True
h2tg000053l	3105470	5037559	44425327	0.611111	1e-16	9.46019e-10	True
h2tg000053l	3421280	5037559	44384110	0.8	1e-16	9.46019e-10	True
h2tg000053l	2987395	5037559	44372725	0.7	1e-16	9.46019e-10	True
h2tg000053l	3000960	5037559	44245248	0.677778	1e-16	9.46019e-10	True
h2tg000053l	2746582	5037559	44230299	0.544444	1.45439e-14	1.37588e-7	True
h2tg000053l	2519597	5037559	43971969	0.666667	1e-16	9.46019e-10	True
h2tg000053l	2564064	5037559	43531069	0.522222	6.83376e-12	6.46486e-5	True
h2tg000053l	2778369	5037559	43227158	0.788889	1e-16	9.46019e-10	True
h2tg000053l	2517459	5037559	43189935	0.655556	1e-16	9.46019e-10	True
h2tg000053l	3810618	5037559	43188854	0.688889	1e-16	9.46019e-10	True
h2tg000053l	3235803	5037559	43141900	0.444444	1.25777e-9	0.0118987	True
h2tg000053l	2718638	5037559	43045450	0.577778	4.44089e-15	4.20117e-8	True
h2tg000053l	2766143	5037559	42966701	0.544444	6.33937e-14	5.99717e-7	True
h2tg000053l	3352335	5037559	42784507	0.722222	1e-16	9.46019e-10	True
h2tg000053l	3253760	5037559	42775929	0.688889	1e-16	9.46019e-10	True
h2tg000053l	2957833	5037559	42754426	0.611111	1e-16	9.46019e-10	True
h2tg000053l	3293619	5037559	42658742	0.811111	1e-16	9.46019e-10	True
h2tg000053l	3902081	5037559	42619194	0.544444	4.21885e-15	3.99111e-8	True
h2tg000053l	2865769	5037559	42412628	0.455556	9.65104e-11	9.13006e-4	True
h2tg000053l	3165122	5037559	42389044	0.6	9.99201e-16	9.45263e-9	True
h2tg000053l	2800954	5037559	42362268	0.422222	1.7653e-9	0.0167001	True
h2tg000053l	2887531	5037559	42329787	0.577778	4.44089e-15	4.20117e-8	True
h2tg000053l	3585032	5037559	42199387	0.455556	1.13949e-11	1.07798e-4	True
h2tg000053l	3914928	5037559	42146146	0.7	1e-16	9.46019e-10	True
h2tg000053l	3189566	5037559	42032627	0.544444	2.498e-14	2.36316e-7	True
h2tg000053l	2727865	5037559	41996884	0.711111	1e-16	9.46019e-10	True
h2tg000053l	2820022	5037559	41952823	0.733333	1e-16	9.46019e-10	True
h2tg000053l	2829599	5037559	41890895	0.544444	8.10463e-15	7.66713e-8	True
h2tg000053l	3427806	5037559	41623488	0.588889	6.66134e-16	6.30175e-9	True
h2tg000053l	3058630	5037559	41584657	0.444444	8.58408e-11	8.1207e-4	True
h2tg000053l	3686248	5037559	41406172	0.655556	1e-16	9.46019e-10	True
h2tg000053l	2686831	5037559	41373722	0.755556	1e-16	9.46019e-10	True
h2tg000053l	2987317	5037559	41273376	0.622222	1e-16	9.46019e-10	True
h2tg000053l	2487128	5037559	41243428	0.555556	5.44009e-15	5.14643e-8	True
h2tg000053l	2572158	5037559	41160757	0.533333	2.41618e-12	2.28575e-5	True
h2tg000053l	2430909	5037559	40956249	0.544444	1.45439e-14	1.37588e-7	True
h2tg000053l	2649316	5037559	40785410	0.411111	1.00311e-9	0.00948965	True
h2tg000053l	3199088	5037559	40755317	0.655556	1e-16	9.46019e-10	True
h2tg000053l	2700881	5037559	40467109	0.411111	3.9311e-9	0.037189	True
h2tg000053l	3860814	5037559	40294462	0.655556	1e-16	9.46019e-10	True
h2tg000053l	3494144	5037559	39695630	0.511111	6.9722e-14	6.59584e-7	True
h2tg000053l	3081637	5037559	39433719	0.477778	3.7278e-12	3.52657e-5	True
h2tg000053l	3859582	5037559	39294094	0.588889	1.11022e-15	1.05029e-8	True
h2tg000053l	3915056	5037559	39277750	0.733333	1e-16	9.46019e-10	True
h2tg000053l	3912792	5037559	38929062	0.588889	1.11022e-15	1.05029e-8	True
h2tg000053l	3324735	5037559	38853814	0.533333	2.41618e-12	2.28575e-5	True
h2tg000053l	3406407	5037559	38649039	0.555556	2.9976e-15	2.83579e-8	True
h2tg000053l	3245805	5037559	38567001	0.755556	1e-16	9.46019e-10	True
h2tg000053l	2888878	5037559	38553509	0.477778	2.01872e-12	1.90975e-5	True
h2tg000053l	2481159	5037559	38364767	0.544444	8.10463e-15	7.66713e-8	True
h2tg000053l	3680744	5037559	38207383	0.544444	4.07452e-14	3.85457e-7	True
h2tg000053l	3227181	5037559	38197467	0.755556	1e-16	9.46019e-10	True
h2tg000053l	4010999	5037559	38121116	0.5	6.23168e-13	5.89529e-6	True
h2tg000053l	2887392	5037559	37904448	0.688889	1e-16	9.46019e-10	True
h2tg000053l	2665530	5037559	37062172	0.588889	2.22045e-16	2.10058e-9	True
h2tg000053l	3599301	5037559	36387539	0.544444	4.07452e-14	3.85457e-7	True
h2tg000053l	4017028	5037559	36116929	0.688889	1e-16	9.46019e-10	True
h2tg000053l	3440818	5037559	35844444	0.5	1.9413e-11	1.83651e-4	True
h2tg000053l	3181711	5037559	35273204	0.7	1e-16	9.46019e-10	True
h2tg000053l	3575235	5037559	35240099	0.5	6.23168e-13	5.89529e-6	True
h2tg000053l	3868248	5037559	34914132	0.733333	1e-16	9.46019e-10	True
h2tg000053l	2522890	5037559	34298439	0.677778	1e-16	9.46019e-10	True
h2tg000053l	2516833	5037559	34105038	0.5	1.78713e-12	1.69066e-5	True
h2tg000053l	2677579	5037559	34042920	0.644444	1e-16	9.46019e-10	True
h2tg000053l	2571851	5037559	33277375	0.5	8.62022e-12	8.15489e-5	True
h2tg000053l	2961954	5037559	33203192	0.5	3.38951e-13	3.20654e-6	True
h2tg000053l	3851983	5037559	33173403	0.555556	2.9976e-15	2.83579e-8	True
h2tg000053l	2699337	5037559	32265237	0.666667	1e-16	9.46019e-10	True
h2tg000053l	2671654	5037559	32080561	0.755556	1e-16	9.46019e-10	True
h2tg000053l	3136035	5037559	32009118	0.633333	1.11022e-16	1.05029e-9	True
h2tg000053l	3125476	5037559	32000056	0.611111	5.55112e-16	5.25146e-9	True
h2tg000053l	2748422	5037559	30037505	0.588889	1.11022e-15	1.05029e-8	True
h2tg000053l	3683283	5037559	29115624	0.611111	1e-16	9.46019e-10	True
h2tg000053l	2588245	5037559	28214462	0.555556	2.46581e-13	2.3327e-6	True
h2tg000053l	2673912	5037559	28086694	0.577778	1.9984e-15	1.89053e-8	True
h2tg000053l	3081776	5037559	27910860	0.766667	1e-16	9.46019e-10	True
h2tg000053l	2759245	5037559	25942786	0.533333	1.0747e-13	1.01668e-6	True
h2tg000053l	2695342	5037559	25393560	0.533333	1.0747e-13	1.01668e-6	True
h2tg000053l	2804055	5037559	23076516	0.766667	1e-16	9.46019e-10	True
h2tg000053l	3526204	5037559	22118212	0.644444	1e-16	9.46019e-10	True
h2tg000053l	2604233	5037559	20932895	0.766667	1e-16	9.46019e-10	True
h2tg000053l	3447226	5037559	19604306	0.633333	1e-16	9.46019e-10	True
h2tg000053l	3588754	5037559	19507727	0.6	1.11022e-16	1.05029e-9	True
h2tg000053l	2903512	5037559	18426295	0.688889	1e-16	9.46019e-10	True
h2tg000053l	3227338	5037559	17080756	0.633333	1e-16	9.46019e-10	True
h2tg000002l	3228871	7897090	37998826	0.677778	1e-16	9.46019e-10	True
h2tg000118l	105863	1637725	41263065	0.433333	1.13113e-10	0.00107007	True
h2tg000004l	11328497	23307471	64206192	0.444444	1.34212e-11	1.26967e-4	True
h2tg000004l	18198274	23307471	42602483	0.822222	1e-16	9.46019e-10	True
h2tg000016l	4395212	6935085	45016377	0.655556	1e-16	9.46019e-10	True
h2tg000066l	13049609	33013404	79868329	0.866667	1e-16	9.46019e-10	True
