pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dx	no_sites	count_diffs	count_comparisons	count_missing
Female	Male	OZ251424.1	2000001	2050000	0.0026571832252263	31142	1324	498272	0
Female	Male	OZ251424.1	2050001	2100000	0.0017442880964221	34183	954	546928	0
Female	Male	OZ251424.1	2100001	2150000	0.0012264219253466	27621	542	441936	0
Female	Male	OZ251424.1	2150001	2200000	0.0011371681415929	28250	514	452000	0
Female	Male	OZ251424.1	2200001	2250000	0.0020451106487611	21150	692	338368	48
Female	Male	OZ251424.1	2250001	2300000	0.0029011437362049	29902	1388	478432	0
Female	Male	OZ251424.1	2300001	2350000	0.0026670292431912	23904	1020	382448	16
Female	Male	OZ251424.1	2350001	2400000	0.0058772568863336	25397	2388	406312	40
Female	Male	OZ251424.1	2400001	2450000	0.0040882167181605	29294	1916	468664	40
Female	Male	OZ251424.1	2450001	2500000	0.0038766311952878	30742	1906	491664	208
Female	Male	OZ251424.1	2500001	2550000	0.0035797149486244	22629	1296	362040	24
Female	Male	OZ251424.1	2550001	2600000	0.0022447975014427	29457	1058	471312	0
Female	Male	OZ251424.1	2600001	2650000	0.0041819585111912	31745	2124	507896	24
Female	Male	OZ251424.1	2650001	2700000	0.0053525025420856	26573	2274	424848	320
Female	Male	OZ251424.1	2700001	2750000	0.0030657466054191	24709	1212	395336	8
Female	Male	OZ251424.1	2750001	2800000	0.0028800955536718	25954	1196	415264	0
Female	Male	OZ251424.1	2800001	2850000	0.0049149138568861	23668	1860	378440	248
Female	Male	OZ251424.1	2850001	2900000	0.0052396771837061	28747	2410	459952	0
Female	Male	OZ251424.1	2900001	2950000	0.0030197109628869	23405	1130	374208	272
Female	Male	OZ251424.1	2950001	3000000	0.0045879157281038	30243	2216	483008	880
Female	Male	OZ251424.1	3000001	3050000	0.0035523417470118	27695	1574	443088	32
Female	Male	OZ251424.1	3050001	3100000	0.0053641297488325	19815	1700	316920	120
Female	Male	OZ251424.1	3100001	3150000	0.0052906154208912	25467	2154	407136	336
Female	Male	OZ251424.1	3150001	3200000	0.005219893136046	24389	2032	389280	944
Female	Male	OZ251424.1	3200001	3250000	0.0050104543831913	19609	1572	313744	0
Female	Male	OZ251424.1	3250001	3300000	0.0052002975534494	18159	1510	290368	176
Female	Male	OZ251424.1	3300001	3350000	0.0044096939153635	20302	1428	323832	1240
Female	Male	OZ251424.1	3350001	3400000	0.0051439746060537	26545	2178	423408	1312
Female	Male	OZ251424.1	3400001	3450000	0.0053510500773518	23594	2020	377496	8
Female	Male	OZ251424.1	3450001	3500000	0.0027079793491046	30610	1326	489664	96
Female	Male	OZ251424.1	3500001	3550000	0.0036565671395276	27248	1594	435928	40
Female	Male	OZ251424.1	3550001	3600000	0.0034186601088009	26839	1468	429408	16
Female	Male	OZ251424.1	3600001	3650000	0.0030850977032594	24513	1210	392208	0
Female	Male	OZ251424.1	3650001	3700000	0.0048338007996658	18311	1296	268112	24864
Female	Male	OZ251424.1	3700001	3750000	0.0041856032839759	21053	1142	272840	64008
Female	Male	OZ251424.1	3750001	3800000	0.0048230724032121	17342	1182	245072	32400
Female	Male	OZ251424.1	3800001	3850000	0.0031291563746912	21056	1054	336832	64
Female	Male	OZ251424.1	3850001	3900000	0.0040282440097233	21642	1392	345560	712
Female	Male	OZ251424.1	3900001	3950000	0.0040580395335224	22209	1442	355344	0
Female	Male	OZ251424.1	3950001	4000000	0.0040920508872862	24718	1616	394912	576
Female	Male	OZ251424.1	4000001	4050000	0.0029323114019979	29030	1362	464480	0
Female	Male	OZ251424.1	4050001	4100000	0.0028422432686286	25552	1162	408832	0
Female	Male	OZ251424.1	4100001	4150000	0.0042395523912804	31814	2158	509016	8
Female	Male	OZ251424.1	4150001	4200000	0.0028756119587432	21039	968	336624	0
Female	Male	OZ251424.1	4200001	4250000	0.0039437801552338	23958	1504	381360	1984
Female	Male	OZ251424.1	4250001	4300000	0.0044065376995688	17162	1210	274592	0
Female	Male	OZ251424.1	4300001	4350000	0.0043426089937717	8752	608	140008	24
Female	Male	OZ251424.1	4350001	4400000	0.0033519553072625	16167	864	257760	912
Female	Male	OZ251424.1	4400001	4450000	0.0022789009037245	19143	698	306288	0
Female	Male	OZ251424.1	4450001	4500000	0.0032099008231955	17813	914	284744	264
Female	Male	OZ251424.1	4500001	4550000	0.0039976621858562	21388	1368	342200	8
Female	Male	OZ251424.1	4550001	4600000	0.0045409725465774	19269	1400	308304	0
Female	Male	OZ251424.1	4600001	4650000	0.0038825160721038	19839	1232	317320	104
Female	Male	OZ251424.1	4650001	4700000	0.0049335049335049	15160	1196	242424	136
Female	Male	OZ251424.1	4700001	4750000	0.0054683902374843	15230	1330	243216	464
Female	Male	OZ251424.1	4750001	4800000	0.0033353618575039	21518	1140	341792	2496
Female	Male	OZ251424.1	4800001	4850000	0.0037276116010546	16511	984	263976	200
Female	Male	OZ251424.1	4850001	4900000	0.0046338001255698	18326	1358	293064	152
Female	Male	OZ251424.1	4900001	4950000	0.0044066378468832	17928	1264	286840	8
Female	Male	OZ251424.1	4950001	5000000	0.0040564074247122	23551	1528	376688	128
Female	Male	OZ251424.1	5000001	5050000	0.003986628296947	23161	1474	369736	840
Female	Male	OZ251424.1	5050001	5100000	0.0052061453519774	16692	1388	266608	2288
Female	Male	OZ251424.1	5100001	5150000	0.0036378724718233	12954	754	207264	0
Female	Male	OZ251424.1	5150001	5200000	0.003953795643818	24976	1580	399616	0
Female	Male	OZ251424.1	5200001	5250000	0.0044385432473444	13184	936	210880	64
Female	Male	OZ251424.1	5250001	5300000	0.0034319642907273	17855	978	284968	712
Female	Male	OZ251424.1	5300001	5350000	0.0037873606456466	15204	886	233936	9328
Female	Male	OZ251424.1	5350001	5400000	0.0012393738926905	30763	610	492184	24
Female	Male	OZ251424.1	5400001	5450000	0.0022385739454865	24168	864	385960	728
Female	Male	OZ251424.1	5450001	5500000	0.0028098372122599	31473	1414	503232	336
Female	Male	OZ251424.1	5500001	5550000	0.0036758688417262	18329	1078	293264	0
Female	Male	OZ251424.1	5550001	5600000	0.0055438688754492	17121	1518	273816	120
Female	Male	OZ251424.1	5600001	5650000	0.0050797503467406	21637	1758	346080	112
Female	Male	OZ251424.1	5650001	5700000	0.00419874536641	17543	1178	280560	128
Female	Male	OZ251424.1	5700001	5750000	0.0043516765406461	16820	1140	261968	7152
Female	Male	OZ251424.1	5750001	5800000	0.0050555505100959	16528	1336	264264	184
Female	Male	OZ251424.1	5800001	5850000	0.0035272056197166	16810	948	268768	192
Female	Male	OZ251424.1	5850001	5900000	0.0034201505784415	16337	894	261392	0
Female	Male	OZ251424.1	5900001	5950000	0.0032562982320035	12293	638	195928	760
Female	Male	OZ251424.1	5950001	6000000	0.0028219599794766	17596	792	280656	880
Female	Male	OZ251424.1	6000001	6050000	0.0045399515738498	19422	1410	310576	176
Female	Male	OZ251424.1	6050001	6100000	0.0015851351932252	23264	590	372208	16
Female	Male	OZ251424.1	6100001	6150000	0.0037472901827191	16145	968	258320	0
Female	Male	OZ251424.1	6150001	6200000	0.0044088008061807	14885	1050	238160	0
Female	Male	OZ251424.1	6200001	6250000	0.0041203456478469	20618	1358	329584	304
Female	Male	OZ251424.1	6250001	6300000	0.0037290793514482	27297	1598	428524	8228
Female	Male	OZ251424.1	6300001	6350000	0.0027656721421387	23864	1056	381824	0
Female	Male	OZ251424.1	6350001	6400000	0.0051762636172948	14784	1224	236464	80
Female	Male	OZ251424.1	6400001	6450000	0.0016543858825738	21307	564	340912	0
Female	Male	OZ251424.1	6450001	6500000	0.0015318083330373	28153	690	450448	0
Female	Male	OZ251424.1	6500001	6550000	0.0012830232693765	25731	528	411528	168
Female	Male	OZ251424.1	6550001	6600000	0.002445681415756	25577	1000	408884	348
Female	Male	OZ251424.1	6600001	6650000	0.0034545542238406	20892	1146	331736	2536
Female	Male	OZ251424.1	6650001	6700000	0.0020800100090707	15996	532	255768	168
Female	Male	OZ251424.1	6700001	6750000	0.0076371826371826	6105	746	97680	0
Female	Male	OZ251424.1	6750001	6800000	0.0051780734371368	17212	1426	275392	0
Female	Male	OZ251424.1	6800001	6850000	0.0021530786398844	19061	656	304680	296
Female	Male	OZ251424.1	6850001	6900000	0.0028974664603991	19724	914	315448	136
Female	Male	OZ251424.1	6900001	6950000	0.0034468054864615	21114	1164	337704	120
Female	Male	OZ251424.1	6950001	7000000	0.0014171493638298	20199	458	323184	0
Female	Male	OZ251424.1	7000001	7050000	0.0018802133187474	22040	660	351024	1616
Female	Male	OZ251424.1	7050001	7100000	0.0009536384976525	23856	364	381696	0
Female	Male	OZ251424.1	7100001	7150000	0.0028380086537994	20569	934	329104	0
Female	Male	OZ251424.1	7150001	7200000	0.0030112217740829	18242	878	291576	296
Female	Male	OZ251424.1	7200001	7250000	0.0026923881221246	14346	618	229536	0
Female	Male	OZ251424.1	7250001	7300000	0.0026790866375401	24305	1040	388192	688
Female	Male	OZ251424.1	7300001	7350000	0.002283536314339	22500	822	359968	32
Female	Male	OZ251424.1	7350001	7400000	0.0017359320752122	14635	404	232728	1432
Female	Male	OZ251424.1	7400001	7450000	0.001575717366064	9047	228	144696	56
Female	Male	OZ251424.1	7450001	7500000	0.0022717465796888	19752	716	315176	856
Female	Male	OZ251424.1	7500001	7550000	0.0010702866742535	18454	316	295248	16
Female	Male	OZ251424.1	7550001	7600000	0.0010893123222106	22147	386	354352	0
Female	Male	OZ251424.1	7600001	7650000	0.0012045925089403	26582	512	425040	272
Female	Male	OZ251424.1	7650001	7700000	0.0031411017486426	21768	1090	347012	1276
Female	Male	OZ251424.1	7700001	7750000	0.0014789725355566	16321	386	260992	144
Female	Male	OZ251424.1	7750001	7800000	0.0016004774305555	18433	472	294912	16
Female	Male	OZ251424.1	7800001	7850000	0.0015997600359946	30018	768	480072	216
Female	Male	OZ251424.1	7850001	7900000	0.0013715488864505	33721	740	539536	0
Female	Male	OZ251424.1	7900001	7950000	0.0015374122277382	22359	550	357744	0
Female	Male	OZ251424.1	7950001	8000000	0.0022712805971876	17281	628	276496	0
Female	Male	OZ251424.1	8000001	8050000	0.0026062107535321	20688	850	326144	4864
Female	Male	OZ251424.1	8050001	8100000	0.0023271276595744	2256	84	36096	0
Female	Male	OZ251424.1	8100001	8150000	0.0026089344562431	2731	114	43696	0
Female	Male	OZ251424.1	8150001	8200000	0.0033843635663393	25970	1406	415440	80
Female	Male	OZ251424.1	8200001	8250000	0.0023814423896745	17007	648	272104	8
Female	Male	OZ251424.1	8250001	8300000	0.0029853351955307	21484	1026	343680	64
Female	Male	OZ251424.1	8300001	8350000	0.0031305711278647	23318	1166	372456	632
Female	Male	OZ251424.1	8350001	8400000	0.0030493717033819	25785	1258	412544	16
Female	Male	OZ251424.1	8400001	8450000	0.003250309132662	28327	1472	452880	352
Female	Male	OZ251424.1	8450001	8500000	0.0026720285969615	28021	1196	447600	736
Female	Male	OZ251424.1	8500001	8550000	0.0034125098970704	31579	1724	505200	64
Female	Male	OZ251424.1	8550001	8600000	0.0016292572279775	29547	770	472608	256
Female	Male	OZ251424.1	8600001	8650000	0.002037091659907	27166	884	433952	704
Female	Male	OZ251424.1	8650001	8700000	0.0027093165530501	14305	620	228840	40
Female	Male	OZ251424.1	8700001	8750000	0.0017530120481927	20765	582	332000	240
Female	Male	OZ251424.1	8750001	8800000	0.0020103943533377	28477	916	455632	0
Female	Male	OZ251424.1	8800001	8850000	0.0031000345577622	24597	1220	393544	8
Female	Male	OZ251424.1	8850001	8900000	0.0024257033013974	16387	636	262192	0
Female	Male	OZ251424.1	8900001	8950000	0.0026515405786399	29796	1264	476704	32
Female	Male	OZ251424.1	8950001	9000000	0.0039396803574497	29095	1834	465520	0
Female	Male	OZ251424.1	9000001	9050000	0.0039190949889355	24177	1516	386824	8
Female	Male	OZ251424.1	9050001	9100000	0.0039874193092399	21223	1354	339568	0
Female	Male	OZ251424.1	9100001	9150000	0.0032536780708627	34462	1794	551376	112
Female	Male	OZ251424.1	9150001	9200000	0.0038493549729504	18088	1110	288360	1048
Female	Male	OZ251424.1	9200001	9250000	0.0030473372781065	16903	824	270400	48
Female	Male	OZ251424.1	9250001	9300000	0.0045990522034404	13409	986	214392	152
Female	Male	OZ251424.1	9300001	9350000	0.0028340488328414	22362	1014	357792	0
Female	Male	OZ251424.1	9350001	9400000	0.0020258103241296	21658	702	346528	0
Female	Male	OZ251424.1	9400001	9450000	0.0021428928428628	20098	686	320128	1776
Female	Male	OZ251424.1	9450001	9500000	0.0032266619519094	14140	730	226240	0
Female	Male	OZ251424.1	9500001	9550000	0.0028078900312919	17896	804	286336	0
Female	Male	OZ251424.1	9550001	9600000	0.0052567608629595	8235	692	131640	120
Female	Male	OZ251424.1	9600001	9650000	0.0038752678596276	17968	1114	287464	24
Female	Male	OZ251424.1	9650001	9700000	0.0024554322233434	22324	876	356760	424
Female	Male	OZ251424.1	9700001	9750000	0.0036534596612115	17469	1018	278640	864
Female	Male	OZ251424.1	9750001	9800000	0.0023688304341677	17694	670	282840	264
Female	Male	OZ251424.1	9800001	9850000	0.002991776251988	25779	1234	412464	0
Female	Male	OZ251424.1	9850001	9900000	0.0029670429993	16446	780	262888	248
Female	Male	OZ251424.1	9900001	9950000	0.0029291559874521	25388	1184	404212	1996
Female	Male	OZ251424.1	9950001	10000000	0.0023000747807564	22073	812	353032	136
Female	Male	OZ251424.1	10000001	10050000	0.0030695958594868	27269	1338	435888	416
Female	Male	OZ251424.1	10050001	10100000	0.0019559219028325	28640	896	458096	144
Female	Male	OZ251424.1	10100001	10150000	0.0034848449764975	21611	1204	345496	280
Female	Male	OZ251424.1	10150001	10200000	0.0049070696543338	8708	678	138168	1160
Female	Male	OZ251424.1	10200001	10250000	0.0038334105552107	28598	1754	457556	12
Female	Male	OZ251424.1	10250001	10300000	0.0038574021782977	24791	1530	396640	16
Female	Male	OZ251424.1	10300001	10350000	0.0042158182250019	25262	1704	404192	0
Female	Male	OZ251424.1	10350001	10400000	0.0020705725699067	18775	622	300400	0
Female	Male	OZ251424.1	10400001	10450000	0.0037114965608578	23407	1390	374512	0
Female	Male	OZ251424.1	10450001	10500000	0.0041220363461307	24927	1644	398832	0
Female	Male	OZ251424.1	10500001	10550000	0.0058267607369523	32458	3026	519328	0
Female	Male	OZ251424.1	10550001	10600000	0.0066730391184374	27731	2960	443576	152
Female	Male	OZ251424.1	10600001	10650000	0.0068490023286607	21923	2400	350416	352
Female	Male	OZ251424.1	10650001	10700000	0.0052624134717784	30060	2530	480768	192
Female	Male	OZ251424.1	10700001	10750000	0.0049468590685215	17464	1374	277752	1672
Female	Male	OZ251424.1	10750001	10800000	0.0046426908433536	27387	2034	438108	836
Female	Male	OZ251424.1	10800001	10850000	0.0059953575141339	35125	3368	561768	232
Female	Male	OZ251424.1	10850001	10900000	0.0057218393876343	26221	2398	419096	440
Female	Male	OZ251424.1	10900001	10950000	0.0062744053958111	14090	1414	225360	80
Female	Male	OZ251424.1	10950001	11000000	0.0050323224890944	19027	1532	304432	0
Female	Male	OZ251424.1	11000001	11050000	0.0056117154168428	26017	2336	416272	0
Female	Male	OZ251424.1	11050001	11100000	0.0058302430984754	18243	1698	291240	648
Female	Male	OZ251424.1	11100001	11150000	0.0071551518349603	19953	2278	318372	876
Female	Male	OZ251424.1	11150001	11200000	0.0062611161851656	20803	2084	332848	0
Female	Male	OZ251424.1	11200001	11250000	0.0081596208275304	22294	2906	356144	560
Female	Male	OZ251424.1	11250001	11300000	0.0079063353781122	19399	2454	310384	0
Female	Male	OZ251424.1	11300001	11350000	0.0055094973239584	23843	2100	381160	328
Female	Male	OZ251424.1	11350001	11400000	0.0073605539019024	23181	2730	370896	0
Female	Male	OZ251424.1	11400001	11450000	0.0060404030277206	19960	1928	319184	176
Female	Male	OZ251424.1	11450001	11500000	0.0069555329752745	20668	2300	330672	16
Female	Male	OZ251424.1	11500001	11550000	0.0079536463141236	15200	1930	242656	544
Female	Male	OZ251424.1	11550001	11600000	0.0052599175544729	18679	1572	298864	0
Female	Male	OZ251424.1	11600001	11650000	0.006516517230718	21093	2192	336376	1112
Female	Male	OZ251424.1	11650001	11700000	0.0063452862060854	23396	2374	374136	200
Female	Male	OZ251424.1	11700001	11750000	0.0051937886096301	23645	1964	378144	176
Female	Male	OZ251424.1	11750001	11800000	0.0065730656697009	24669	2588	393728	976
Female	Male	OZ251424.1	11800001	11850000	0.0066884568802211	32201	3446	515216	0
Female	Male	OZ251424.1	11850001	11900000	0.006621906266456	28573	3018	455760	1408
Female	Male	OZ251424.1	11900001	11950000	0.0048605750675414	31092	2418	497472	0
Female	Male	OZ251424.1	11950001	12000000	0.0058682421046371	25274	2368	403528	856
Female	Male	OZ251424.1	12000001	12050000	0.0053748934961658	35210	3028	563360	0
Female	Male	OZ251424.1	12050001	12100000	0.0053600922434479	32089	2752	513424	0
Female	Male	OZ251424.1	12100001	12150000	0.0038199433766307	35145	2148	562312	8
Female	Male	OZ251424.1	12150001	12200000	0.0038174627015119	29991	1830	479376	480
Female	Male	OZ251424.1	12200001	12250000	0.0020660370172899	39387	1302	630192	0
Female	Male	OZ251424.1	12250001	12300000	0.0029313133235028	42054	1972	672736	128
Female	Male	OZ251424.1	12300001	12350000	0.0037552041213646	33387	2006	534192	0
Female	Male	OZ251424.1	12350001	12400000	0.0032450940310711	34244	1778	547904	0
Female	Male	OZ251424.1	12400001	12450000	0.0047279811165145	35167	2660	562608	64
Female	Male	OZ251424.1	12450001	12500000	0.0023477223202241	38548	1448	616768	0
Female	Male	OZ251424.1	12500001	12550000	0.0031217678666027	39641	1980	634256	0
Female	Male	OZ251424.1	12550001	12600000	0.0046217840086273	32455	2400	519280	0
Female	Male	OZ251424.1	12600001	12650000	0.0049484771408074	30666	2428	490656	0
Female	Male	OZ251424.1	12650001	12700000	0.0059663536776212	26838	2562	429408	0
Female	Male	OZ251424.1	12700001	12750000	0.0054570516103763	33229	2898	531056	608
Female	Male	OZ251424.1	12750001	12800000	0.0048208414000798	32541	2510	520656	0
Female	Male	OZ251424.1	12800001	12850000	0.0046421404682274	28075	2082	448500	700
Female	Male	OZ251424.1	12850001	12900000	0.006115946976162	26379	2580	421848	216
Female	Male	OZ251424.1	12900001	12950000	0.0067654773304467	24019	2600	384304	0
Female	Male	OZ251424.1	12950001	13000000	0.0061450624244039	24413	2398	390232	376
Female	Male	OZ251424.1	13000001	13050000	0.0073122071999857	28315	3284	449112	3928
Female	Male	OZ251424.1	13050001	13100000	0.0070201643017177	26829	3008	428480	784
Female	Male	OZ251424.1	13100001	13150000	0.0058604181915293	25288	2370	404408	200
Female	Male	OZ251424.1	13150001	13200000	0.0054579998201277	22238	1942	355808	0
Female	Male	OZ251424.1	13200001	13250000	0.0060019947282182	28187	2696	449184	1808
Female	Male	OZ251424.1	13250001	13300000	0.0045839409001925	31053	2276	496516	332
Female	Male	OZ251424.1	13300001	13350000	0.0052211407103825	29282	2446	468480	32
Female	Male	OZ251424.1	13350001	13400000	0.0065190415435971	28696	2984	457736	1400
Female	Male	OZ251424.1	13400001	13450000	0.0058775762731526	25861	2432	413776	0
Female	Male	OZ251424.1	13450001	13500000	0.0051874346203687	32124	2658	512392	1592
Female	Male	OZ251424.1	13500001	13550000	0.0040760431770581	31035	2024	496560	0
Female	Male	OZ251424.1	13550001	13600000	0.004394159259931	27565	1938	441040	0
Female	Male	OZ251424.1	13600001	13650000	0.0049569855780455	27860	2208	445432	328
Female	Male	OZ251424.1	13650001	13700000	0.0048335853480351	29431	2276	470872	24
Female	Male	OZ251424.1	13700001	13750000	0.0053263995219778	26804	2282	428432	432
Female	Male	OZ251424.1	13750001	13800000	0.0038719968631924	28054	1738	448864	0
Female	Male	OZ251424.1	13800001	13850000	0.0050222343579341	25646	2060	410176	160
Female	Male	OZ251424.1	13850001	13900000	0.0050414131169709	29580	2386	473280	0
Female	Male	OZ251424.1	13900001	13950000	0.0051646277760927	29698	2452	474768	400
Female	Male	OZ251424.1	13950001	14000000	0.0048733631856256	35400	2760	566344	56
Female	Male	OZ251424.1	14000001	14050000	0.0043709228702993	41696	2916	667136	0
Female	Male	OZ251424.1	14050001	14100000	0.0043014154044633	40311	2774	644904	72
Female	Male	OZ251424.1	14100001	14150000	0.0048275459055138	38503	2974	616048	0
Female	Male	OZ251424.1	14150001	14200000	0.0037712738525012	38780	2340	620480	0
Female	Male	OZ251424.1	14200001	14250000	0.0030955266347015	37958	1880	607328	0
Female	Male	OZ251424.1	14250001	14300000	0.0032097389052722	41709	2142	667344	0
Female	Male	OZ251424.1	14300001	14350000	0.0040230055219174	33782	2174	540392	120
Female	Male	OZ251424.1	14350001	14400000	0.0054237123735005	30929	2684	494864	0
Female	Male	OZ251424.1	14400001	14450000	0.0037391073076862	32020	1912	511352	968
Female	Male	OZ251424.1	14450001	14500000	0.0046136140313093	37268	2742	594328	1960
Female	Male	OZ251424.1	14500001	14550000	0.0062118308023	32335	3202	515468	1892
Female	Male	OZ251424.1	14550001	14600000	0.0044939220255715	39705	2854	635080	200
Female	Male	OZ251424.1	14600001	14650000	0.0054899384113614	31603	2774	505288	360
Female	Male	OZ251424.1	14650001	14700000	0.0034211893014801	38513	2108	616160	48
Female	Male	OZ251424.1	14700001	14750000	0.0029317766762327	38330	1798	613280	0
Female	Male	OZ251424.1	14750001	14800000	0.0033255724285205	33723	1794	539456	112
Female	Male	OZ251424.1	14800001	14850000	0.0027969982825994	40177	1798	642832	0
Female	Male	OZ251424.1	14850001	14900000	0.0040545477650347	31484	2042	503632	112
Female	Male	OZ251424.1	14900001	14950000	0.0043458120033918	31903	2214	509456	992
Female	Male	OZ251424.1	14950001	15000000	0.004268198642813	32432	2214	518720	192
Female	Male	OZ251424.1	15000001	15050000	0.0027710946898092	34914	1548	558624	0
Female	Male	OZ251424.1	15050001	15100000	0.0071903179876601	36884	4242	589960	184
Female	Male	OZ251424.1	15100001	15150000	0.0048335780714635	28621	2212	457632	304
Female	Male	OZ251424.1	15150001	15200000	0.0038094687925235	38949	2374	623184	0
Female	Male	OZ251424.1	15200001	15250000	0.0063523068478997	30973	3148	495568	0
Female	Male	OZ251424.1	15250001	15300000	0.0072029376686962	31862	3672	509792	0
Female	Male	OZ251424.1	15300001	15350000	0.0042578917260387	38458	2620	615328	0
Female	Male	OZ251424.1	15350001	15400000	0.0027802551213447	37002	1646	592032	0
Female	Male	OZ251424.1	15400001	15450000	0.0042219706167214	36684	2476	586456	488
Female	Male	OZ251424.1	15450001	15500000	0.0028192494139602	43939	1982	703024	0
Female	Male	OZ251424.1	15500001	15550000	0.0029867440919583	42019	2008	672304	0
Female	Male	OZ251424.1	15550001	15600000	0.0040796295741301	33529	2178	533872	2592
Female	Male	OZ251424.1	15600001	15650000	0.0056843748242308	35558	3234	568928	0
Female	Male	OZ251424.1	15650001	15700000	0.0042597256782181	32954	2246	527264	0
Female	Male	OZ251424.1	15700001	15750000	0.0042598941861496	33833	2306	541328	0
Female	Male	OZ251424.1	15750001	15800000	0.0043513923065159	35967	2504	575448	24
Female	Male	OZ251424.1	15800001	15850000	0.0037285748418656	39761	2372	636168	8
Female	Male	OZ251424.1	15850001	15900000	0.0049977530975155	38956	3114	623080	216
Female	Male	OZ251424.1	15900001	15950000	0.0038461075827559	41568	2558	665088	0
Female	Male	OZ251424.1	15950001	16000000	0.0043497963925092	39175	2726	626696	104
Female	Male	OZ251424.1	16000001	16050000	0.0043164778635144	36546	2524	584736	0
Female	Male	OZ251424.1	16050001	16100000	0.0041102645159547	37011	2434	592176	0
Female	Male	OZ251424.1	16100001	16150000	0.0067349061173319	35126	3782	561552	464
Female	Male	OZ251424.1	16150001	16200000	0.0038585010495122	32396	2000	518336	0
Female	Male	OZ251424.1	16200001	16250000	0.0034652638610554	41916	2324	670656	0
Female	Male	OZ251424.1	16250001	16300000	0.0021136737122457	44119	1492	705880	24
Female	Male	OZ251424.1	16300001	16350000	0.0047127930617391	38857	2930	621712	0
Female	Male	OZ251424.1	16350001	16400000	0.0030543325418962	43381	2120	694096	0
Female	Male	OZ251424.1	16400001	16450000	0.0014094257074818	45167	1018	722280	392
Female	Male	OZ251424.1	16450001	16500000	0.0048540908960737	34919	2712	558704	0
Female	Male	OZ251424.1	16500001	16550000	0.0038941590397933	44907	2798	718512	0
Female	Male	OZ251424.1	16550001	16600000	0.0055208987609204	35026	3094	560416	0
Female	Male	OZ251424.1	16600001	16650000	0.0032486639521567	31436	1634	502976	0
Female	Male	OZ251424.1	16650001	16700000	0.0039638980363458	24597	1560	393552	0
Female	Male	OZ251424.1	16700001	16750000	0.0034737277779967	25369	1410	405904	0
