"","location","timepoint","f1","f2","f3","m","u","area"
"542","Ternholmen","Timepoint 3",84,6,3,17,0,"Austevoll"
"552","Tipatiskaeret","Timepoint 3",81,10,2,10,0,"Austevoll"
"13","Feoya f4-5","Timepoint 1",14,17,23,45,0,"Hitra"
"23","Steinrenningen s-8","Timepoint 1",12,15,11,47,0,"Hitra"
"33","Teistholmen 10","Timepoint 1",3,6,7,43,0,"Hitra"
"43","Teistholmen 13","Timepoint 1",25,20,16,23,0,"Hitra"
"58","Vegshiftholmane 6","Timepoint 1",8,5,9,21,0,"Hitra"
"263","Feoya f4-5","Timepoint 2",26,27,12,12,0,"Hitra"
"273","Steinrenningen s-8","Timepoint 2",24,21,10,33,0,"Hitra"
"283","Teistholmen 10","Timepoint 2",34,24,15,27,1,"Hitra"
"293","Teistholmen 13","Timepoint 2",34,18,18,35,0,"Hitra"
"303","Vegshiftholmane 6","Timepoint 2",29,29,16,32,0,"Hitra"
"513","Feoya f4-5","Timepoint 3",76,5,3,20,0,"Hitra"
"523","Steinrenningen s-8","Timepoint 3",63,2,0,22,0,"Hitra"
"533","Teistholmen 10","Timepoint 3",81,7,1,27,0,"Hitra"
"543","Teistholmen 13","Timepoint 3",53,3,4,29,0,"Hitra"
"553","Vegshiftholmane 6","Timepoint 3",70,6,1,18,0,"Hitra"
"14","Gudmunholmen","Timepoint 1",9,12,13,44,0,"Helligvaer"
"24","Kloverholmen","Timepoint 1",20,24,16,36,0,"Helligvaer"
"34","Litj-sorroy","Timepoint 1",13,23,19,40,1,"Helligvaer"
"44","Store-kvannoya","Timepoint 1",7,2,5,53,2,"Helligvaer"
"59","Tjonnoyskaeret","Timepoint 1",8,19,13,46,1,"Helligvaer"
"264","Gudmunholmen","Timepoint 2",26,32,18,35,8,"Helligvaer"
"274","Kloverholmen","Timepoint 2",15,21,16,20,4,"Helligvaer"
"284","Litj-sorroy","Timepoint 2",33,28,21,26,1,"Helligvaer"
"294","Store-kvannoya","Timepoint 2",22,17,11,19,2,"Helligvaer"
"304","Tjonnoyskaeret","Timepoint 2",15,21,10,21,8,"Helligvaer"
"514","Gudmunholmen","Timepoint 3",65,7,0,29,0,"Helligvaer"
"524","Kloverholmen","Timepoint 3",68,6,3,19,0,"Helligvaer"
"534","Litj-sorroy","Timepoint 3",5,0,1,0,0,"Helligvaer"
"544","Store-kvannoya","Timepoint 3",59,2,1,14,0,"Helligvaer"
"554","Tjonnoyskaeret","Timepoint 3",78,8,0,8,0,"Helligvaer"
"15","Dragan Hammaran","Timepoint 1",19,18,13,46,5,"Ringstad"
"25","Finnoya","Timepoint 1",12,18,12,35,23,"Ringstad"
"35","Hongvaeret","Timepoint 1",14,11,13,35,10,"Ringstad"
"45","Mikkelsoya","Timepoint 1",4,7,9,69,2,"Ringstad"
"510","Varholmen","Timepoint 1",6,25,22,22,74,"Ringstad"
"265","Dragan Hammaran","Timepoint 2",14,14,11,17,7,"Ringstad"
"275","Finnoya","Timepoint 2",40,15,5,22,20,"Ringstad"
"285","Hongvaeret","Timepoint 2",38,10,6,9,39,"Ringstad"
"295","Mikkelsoya","Timepoint 2",25,20,9,17,5,"Ringstad"
"305","Varholmen","Timepoint 2",10,30,15,20,35,"Ringstad"
"515","Dragan Hammaran","Timepoint 3",31,1,0,28,1,"Ringstad"
"525","Finnoya","Timepoint 3",76,2,0,19,3,"Ringstad"
"535","Hongvaeret","Timepoint 3",58,1,1,18,0,"Ringstad"
"545","Mikkelsoya","Timepoint 3",56,3,0,22,0,"Ringstad"
"555","Varholmen","Timepoint 3",87,5,0,17,3,"Ringstad"
