pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
PflaHELAf	OZ251425.1	300001	350000	0.0047638946928541	11965	57	11965	0
PflaHELEm	OZ251425.1	300001	350000	0.0070204763894692	11965	84	11965	0
PflaKGBDf	OZ251425.1	300001	350000	0.0056010700551747	11962	67	11962	3
PflaKGBHm	OZ251425.1	350001	400000	0.0038583903066404	14773	57	14773	126
PflaHELEm	OZ251425.1	350001	400000	0.0040942345123833	14899	61	14899	0
PflaKGBDf	OZ251425.1	350001	400000	0.0040271159138197	14899	60	14899	0
PflaHELAf	OZ251425.1	350001	400000	0.0024833881468554	14899	37	14899	0
PflaKGBDf	OZ251425.1	400001	450000	0.003174183309086	15122	48	15122	27
PflaHELAf	OZ251425.1	400001	450000	0.0021783616080269	15149	33	15149	0
PflaHELEm	OZ251425.1	400001	450000	0.0030365040596739	15149	46	15149	0
PflaKGBHm	OZ251425.1	400001	450000	0.003168735146554	15148	48	15148	1
PflaKGBDf	OZ251425.1	450001	500000	0.0034588611699597	23129	80	23129	0
PflaHELAf	OZ251425.1	450001	500000	0.0019064950821092	23079	44	23079	50
PflaHELEm	OZ251425.1	450001	500000	0.0030265035237148	23129	70	23129	0
PflaKGBHm	OZ251425.1	450001	500000	0.0031994465822128	23129	74	23129	0
PflaKGBHm	OZ251425.1	500001	550000	0.0013717880085653	29888	41	29888	0
PflaKGBDf	OZ251425.1	500001	550000	0.0017732869379014	29888	53	29888	0
PflaHELAf	OZ251425.1	500001	550000	0.0018429164991288	29844	55	29844	44
PflaHELEm	OZ251425.1	500001	550000	0.0025762847965738	29888	77	29888	0
PflaKGBHm	OZ251425.1	550001	600000	0.0011498658489842	23481	27	23481	0
PflaHELEm	OZ251425.1	550001	600000	0.0033218346748434	23481	78	23481	0
PflaHELAf	OZ251425.1	550001	600000	0.0030663089306247	23481	72	23481	0
PflaKGBDf	OZ251425.1	550001	600000	0.0027744579136076	23428	65	23428	53
PflaKGBDf	OZ251425.1	600001	650000	0.0020013342228152	31479	63	31479	3
PflaHELEm	OZ251425.1	600001	650000	0.0048600743305485	31481	153	31481	1
PflaKGBHm	OZ251425.1	600001	650000	0.0007305762022743	31482	23	31482	0
PflaHELAf	OZ251425.1	600001	650000	0.0016007171212703	31236	50	31236	246
PflaHELAf	OZ251425.1	650001	700000	0.0016115445189173	27303	44	27303	2
PflaKGBDf	OZ251425.1	650001	700000	0.0014741652539249	27134	40	27134	171
PflaHELEm	OZ251425.1	650001	700000	0.004285086434222	27304	117	27304	1
PflaKGBHm	OZ251425.1	650001	700000	0.0015453675767164	27178	42	27178	127
PflaKGBDf	OZ251425.1	700001	750000	0.0014318200960161	23746	34	23746	64
PflaHELEm	OZ251425.1	700001	750000	0.0047056846350993	23801	112	23801	9
PflaKGBHm	OZ251425.1	700001	750000	0.0018059638807223	23810	43	23810	0
PflaHELAf	OZ251425.1	700001	750000	0.0010095911155981	23772	24	23772	38
PflaKGBDf	OZ251425.1	750001	800000	0.0031683548557438	20831	66	20831	16
PflaHELEm	OZ251425.1	750001	800000	0.003933419676692	20847	82	20847	0
PflaHELAf	OZ251425.1	750001	800000	0.0016350870443397	20794	34	20794	53
PflaKGBHm	OZ251425.1	750001	800000	0.0034057658176236	20847	71	20847	0
PflaHELAf	OZ251425.1	800001	850000	0.0057626376832737	27418	158	27418	0
PflaKGBDf	OZ251425.1	800001	850000	0.0054355756602947	27412	149	27412	6
PflaHELEm	OZ251425.1	800001	850000	0.0066474305124365	27379	182	27379	39
PflaKGBHm	OZ251425.1	800001	850000	0.0033220165735771	27393	91	27393	25
PflaHELAf	OZ251425.1	850001	900000	0.0039110117838277	19688	77	19688	53
PflaKGBDf	OZ251425.1	850001	900000	0.0022856562373019	19688	45	19688	53
PflaHELEm	OZ251425.1	850001	900000	0.0057276091033503	19729	113	19729	12
PflaKGBHm	OZ251425.1	850001	900000	0.0028367357276733	19741	56	19741	0
PflaHELEm	OZ251425.1	900001	950000	0.0028848927781517	20798	60	20798	3
PflaKGBHm	OZ251425.1	900001	950000	0.0034613720494207	20801	72	20801	0
PflaHELAf	OZ251425.1	900001	950000	0.0022294382784859	20633	46	20633	168
PflaKGBDf	OZ251425.1	900001	950000	0.0033171482140281	20801	69	20801	0
PflaHELAf	OZ251425.1	950001	1000000	0.0034957844951675	19452	68	19452	0
PflaKGBDf	OZ251425.1	950001	1000000	0.0048838165741311	19452	95	19452	0
PflaHELEm	OZ251425.1	950001	1000000	0.005356131225215	19417	104	19417	35
PflaKGBHm	OZ251425.1	950001	1000000	0.005663097199341	19424	110	19424	28
PflaHELAf	OZ251425.1	1000001	1050000	0.0048172537234277	22627	109	22627	98
PflaHELEm	OZ251425.1	1000001	1050000	0.0054565456545654	22725	124	22725	0
PflaKGBHm	OZ251425.1	1000001	1050000	0.0017061781609195	22272	38	22272	453
PflaKGBDf	OZ251425.1	1000001	1050000	0.0038735804208116	22718	88	22718	7
PflaHELAf	OZ251425.1	1050001	1100000	0.00548382918088	23159	127	23159	7
PflaKGBDf	OZ251425.1	1050001	1100000	0.0042735042735042	23166	99	23166	0
PflaHELEm	OZ251425.1	1050001	1100000	0.0086333419666753	23166	200	23166	0
PflaKGBHm	OZ251425.1	1050001	1100000	0.004705171371838	23166	109	23166	0
PflaHELEm	OZ251425.1	1100001	1150000	0.0076858871809139	28754	221	28754	0
PflaKGBHm	OZ251425.1	1100001	1150000	0.0051820679581261	28753	149	28753	1
PflaKGBDf	OZ251425.1	1100001	1150000	0.0036883677233028	28739	106	28739	15
PflaHELAf	OZ251425.1	1100001	1150000	0.0062862331494028	28634	180	28634	120
PflaHELAf	OZ251425.1	1150001	1200000	0.0059471641417303	15974	95	15974	67
PflaKGBHm	OZ251425.1	1150001	1200000	0.0052112764487976	15927	83	15927	114
PflaHELEm	OZ251425.1	1150001	1200000	0.0080418926500841	16041	129	16041	0
PflaKGBDf	OZ251425.1	1150001	1200000	0.004401131719585	15905	70	15905	136
PflaKGBDf	OZ251425.1	1200001	1250000	0.0064599483204134	20124	130	20124	0
PflaHELAf	OZ251425.1	1200001	1250000	0.0042739290328993	20122	86	20122	2
PflaKGBHm	OZ251425.1	1200001	1250000	0.0058636453985291	20124	118	20124	0
PflaHELEm	OZ251425.1	1200001	1250000	0.0069568674219837	20124	140	20124	0
PflaHELAf	OZ251425.1	1250001	1300000	0.004174626760065	28266	118	28266	0
PflaHELEm	OZ251425.1	1250001	1300000	0.00824370223606	28264	233	28264	2
PflaKGBDf	OZ251425.1	1250001	1300000	0.0046699214604118	28266	132	28266	0
PflaKGBHm	OZ251425.1	1250001	1300000	0.0054490128087184	28262	154	28262	4
PflaHELAf	OZ251425.1	1300001	1350000	0.0039688968086829	24692	98	24692	8
PflaKGBDf	OZ251425.1	1300001	1350000	0.0051012145748987	24700	126	24700	0
PflaKGBHm	OZ251425.1	1300001	1350000	0.0055232912317751	24623	136	24623	77
PflaHELEm	OZ251425.1	1300001	1350000	0.0068825910931174	24700	170	24700	0
PflaHELEm	OZ251425.1	1350001	1400000	0.008025628055977	29655	238	29655	0
PflaKGBHm	OZ251425.1	1350001	1400000	0.0033383915022761	29655	99	29655	0
PflaKGBDf	OZ251425.1	1350001	1400000	0.0054628224582701	29655	162	29655	0
PflaHELAf	OZ251425.1	1350001	1400000	0.00521274075077	29543	154	29543	112
PflaHELAf	OZ251425.1	1400001	1450000	0.0030976497197364	20338	63	20338	0
PflaHELEm	OZ251425.1	1400001	1450000	0.00703117317337	20338	143	20338	0
PflaKGBHm	OZ251425.1	1400001	1450000	0.0046774987690792	20310	95	20310	28
PflaKGBDf	OZ251425.1	1400001	1450000	0.006107171000788	20304	124	20304	34
PflaKGBDf	OZ251425.1	1450001	1500000	0.0046649703138252	23580	110	23580	0
PflaHELEm	OZ251425.1	1450001	1500000	0.006404003562492	23579	151	23579	1
PflaKGBHm	OZ251425.1	1450001	1500000	0.0041253774507719	23513	97	23513	67
PflaHELAf	OZ251425.1	1450001	1500000	0.0061068702290076	23580	144	23580	0
PflaHELAf	OZ251425.1	1500001	1550000	0.0055916085057752	24501	137	24501	218
PflaKGBHm	OZ251425.1	1500001	1550000	0.0037622881184513	24719	93	24719	0
PflaHELEm	OZ251425.1	1500001	1550000	0.0062545690845585	24622	154	24622	97
PflaKGBDf	OZ251425.1	1500001	1550000	0.0058840238607312	24643	145	24643	76
PflaKGBHm	OZ251425.1	1550001	1600000	0.0033207716129995	26801	89	26801	3
PflaHELEm	OZ251425.1	1550001	1600000	0.0073123414415758	26804	196	26804	0
PflaKGBDf	OZ251425.1	1550001	1600000	0.0055215639456797	26804	148	26804	0
PflaHELAf	OZ251425.1	1550001	1600000	0.0070138785255931	26804	188	26804	0
PflaKGBDf	OZ251425.1	1600001	1650000	0.0055929318310772	24674	138	24674	0
PflaHELEm	OZ251425.1	1600001	1650000	0.0105079519636481	24648	259	24648	26
PflaKGBHm	OZ251425.1	1600001	1650000	0.0051884880421564	24670	128	24670	4
PflaHELAf	OZ251425.1	1600001	1650000	0.0052281754073113	24674	129	24674	0
PflaKGBDf	OZ251425.1	1650001	1700000	0.0069242269258006	25418	176	25418	1
PflaKGBHm	OZ251425.1	1650001	1700000	0.0062158228097092	25419	158	25419	0
PflaHELEm	OZ251425.1	1650001	1700000	0.0097958220228962	25419	249	25419	0
PflaHELAf	OZ251425.1	1650001	1700000	0.0047758130723081	25336	121	25336	83
PflaHELEm	OZ251425.1	1700001	1750000	0.0087769509635565	26205	230	26205	0
PflaHELAf	OZ251425.1	1700001	1750000	0.0061820263308528	26205	162	26205	0
PflaKGBDf	OZ251425.1	1700001	1750000	0.0050379756497843	26201	132	26201	4
PflaKGBHm	OZ251425.1	1700001	1750000	0.0047351739412685	26187	124	26187	18
PflaKGBDf	OZ251425.1	1750001	1800000	0.0041839253587716	23901	100	23901	28
PflaHELAf	OZ251425.1	1750001	1800000	0.0066161383526652	23881	158	23881	48
PflaKGBHm	OZ251425.1	1750001	1800000	0.0054745288144092	23929	131	23929	0
PflaHELEm	OZ251425.1	1750001	1800000	0.0083998495549333	23929	201	23929	0
PflaKGBHm	OZ251425.1	1800001	1850000	0.0049784415699871	22497	112	22497	1956
PflaHELEm	OZ251425.1	1800001	1850000	0.0089559563243773	24453	219	24453	0
PflaKGBDf	OZ251425.1	1800001	1850000	0.0071974808816914	24453	176	24453	0
PflaHELAf	OZ251425.1	1800001	1850000	0.0049482681061628	24453	121	24453	0
PflaKGBDf	OZ251425.1	1850001	1900000	0.0081002354255616	25061	203	25061	0
PflaHELEm	OZ251425.1	1850001	1900000	0.0124895255576393	25061	313	25061	0
PflaHELAf	OZ251425.1	1850001	1900000	0.0091061586388689	25038	228	25038	23
PflaKGBHm	OZ251425.1	1850001	1900000	0.0075016958620964	25061	188	25061	0
PflaHELAf	OZ251425.1	1900001	1950000	0.0053736225224874	25681	138	25681	0
PflaKGBDf	OZ251425.1	1900001	1950000	0.0036213543086328	25681	93	25681	0
PflaHELEm	OZ251425.1	1900001	1950000	0.0068143763872123	25681	175	25681	0
PflaKGBHm	OZ251425.1	1900001	1950000	0.0047116545305868	25681	121	25681	0
PflaHELAf	OZ251425.1	1950001	2000000	0.0042462845010615	28731	122	28731	149
PflaKGBDf	OZ251425.1	1950001	2000000	0.0029091916603172	28874	84	28874	6
PflaHELEm	OZ251425.1	1950001	2000000	0.0046055821040238	28878	133	28878	2
PflaKGBHm	OZ251425.1	1950001	2000000	0.0037049861495844	28880	107	28880	0
PflaHELEm	OZ251425.1	2000001	2050000	0.0079540795407954	24390	194	24390	34
PflaKGBHm	OZ251425.1	2000001	2050000	0.0063088897992625	24410	154	24410	14
PflaHELAf	OZ251425.1	2000001	2050000	0.0056122239973782	24411	137	24411	13
PflaKGBDf	OZ251425.1	2000001	2050000	0.0058170496907132	24411	142	24411	13
PflaHELAf	OZ251425.1	2050001	2100000	0.0052678628440074	31322	165	31322	3
PflaKGBHm	OZ251425.1	2050001	2100000	0.0056103695105436	31014	174	31014	311
PflaHELEm	OZ251425.1	2050001	2100000	0.0076957465832162	31316	241	31316	9
PflaKGBDf	OZ251425.1	2050001	2100000	0.0057783169454731	31324	181	31324	1
PflaHELEm	OZ251425.1	2100001	2150000	0.0083454828817052	19891	166	19891	0
PflaKGBHm	OZ251425.1	2100001	2150000	0.0060865191146881	19880	121	19880	11
PflaKGBDf	OZ251425.1	2100001	2150000	0.0031725249269815	19858	63	19858	33
PflaHELAf	OZ251425.1	2100001	2150000	0.0056306872454879	19891	112	19891	0
PflaHELAf	OZ251425.1	2150001	2200000	0.0070195963732085	17095	120	17095	0
PflaKGBHm	OZ251425.1	2150001	2200000	0.0048552208248025	17095	83	17095	0
PflaHELEm	OZ251425.1	2150001	2200000	0.0083650190114068	17095	143	17095	0
PflaKGBDf	OZ251425.1	2150001	2200000	0.0047967241883591	17095	82	17095	0
PflaHELAf	OZ251425.1	2200001	2250000	0.0072036673215455	21378	154	21378	0
PflaKGBDf	OZ251425.1	2200001	2250000	0.0032276171765366	21378	69	21378	0
PflaHELEm	OZ251425.1	2200001	2250000	0.0069230049583684	21378	148	21378	0
PflaKGBHm	OZ251425.1	2200001	2250000	0.0042099354476564	21378	90	21378	0
PflaHELEm	OZ251425.1	2250001	2300000	0.0094392004441976	19811	187	19811	0
PflaKGBHm	OZ251425.1	2250001	2300000	0.0073744822709364	19798	146	19798	13
PflaHELAf	OZ251425.1	2250001	2300000	0.0045509708737864	19776	90	19776	35
PflaKGBDf	OZ251425.1	2250001	2300000	0.0065643304382952	19804	130	19804	7
PflaKGBHm	OZ251425.1	2300001	2350000	0.003415014079444	33382	114	33382	0
PflaHELEm	OZ251425.1	2300001	2350000	0.005511952549278	33382	184	33382	0
PflaKGBDf	OZ251425.1	2300001	2350000	0.004167541150721	33353	139	33353	29
PflaHELAf	OZ251425.1	2300001	2350000	0.0030255826493319	33382	101	33382	0
PflaHELAf	OZ251425.1	2350001	2400000	0.0025917268015042	19678	51	19678	0
PflaKGBDf	OZ251425.1	2350001	2400000	0.0052342717755869	19678	103	19678	0
PflaHELEm	OZ251425.1	2350001	2400000	0.0069620896432564	19678	137	19678	0
PflaKGBHm	OZ251425.1	2350001	2400000	0.0047260900498018	19678	93	19678	0
PflaKGBHm	OZ251425.1	2400001	2450000	0.0026615969581749	34190	91	34190	0
PflaHELEm	OZ251425.1	2400001	2450000	0.005206200643463	34190	178	34190	0
PflaKGBDf	OZ251425.1	2400001	2450000	0.003626791459491	34190	124	34190	0
PflaHELAf	OZ251425.1	2400001	2450000	0.0027785902310617	34190	95	34190	0
PflaKGBDf	OZ251425.1	2450001	2500000	0.0039582583663188	22232	88	22232	0
PflaHELEm	OZ251425.1	2450001	2500000	0.0065221302626844	22232	145	22232	0
PflaKGBHm	OZ251425.1	2450001	2500000	0.005352644836272	22232	119	22232	0
PflaHELAf	OZ251425.1	2450001	2500000	0.0042346157311469	22198	94	22198	34
PflaHELEm	OZ251425.1	2500001	2550000	0.0097953952487755	21847	214	21847	0
PflaKGBHm	OZ251425.1	2500001	2550000	0.0066892696783652	21826	146	21826	21
PflaHELAf	OZ251425.1	2500001	2550000	0.0062279617163529	21837	136	21837	10
PflaKGBDf	OZ251425.1	2500001	2550000	0.0078732948823583	21846	172	21846	1
PflaKGBHm	OZ251425.1	2550001	2600000	0.005521472392638	21190	117	21190	0
PflaHELAf	OZ251425.1	2550001	2600000	0.0059956566896421	21182	127	21182	8
PflaKGBDf	OZ251425.1	2550001	2600000	0.0047247814788566	21165	100	21165	25
PflaHELEm	OZ251425.1	2550001	2600000	0.0084473808400188	21190	179	21190	0
PflaHELAf	OZ251425.1	2600001	2650000	0.0067718078945023	22446	152	22446	0
PflaKGBDf	OZ251425.1	2600001	2650000	0.0066162993428405	22369	148	22369	77
PflaHELEm	OZ251425.1	2600001	2650000	0.0085984139713089	22446	193	22446	0
PflaKGBHm	OZ251425.1	2600001	2650000	0.0049897531854227	22446	112	22446	0
PflaKGBHm	OZ251425.1	2650001	2700000	0.0065934065934065	28665	189	28665	5
PflaHELEm	OZ251425.1	2650001	2700000	0.0090338332752005	28670	259	28670	0
PflaKGBDf	OZ251425.1	2650001	2700000	0.0074642483432159	28670	214	28670	0
PflaHELAf	OZ251425.1	2650001	2700000	0.0069759330310429	28670	200	28670	0
PflaHELEm	OZ251425.1	2700001	2750000	0.0067219679633867	34960	235	34960	0
PflaKGBDf	OZ251425.1	2700001	2750000	0.0036946870972361	34915	129	34915	45
PflaHELAf	OZ251425.1	2700001	2750000	0.0048340961098398	34960	169	34960	0
PflaKGBHm	OZ251425.1	2700001	2750000	0.0041557994898397	34891	145	34891	69
PflaHELAf	OZ251425.1	2750001	2800000	0.0081493448213965	27855	227	27855	0
PflaHELEm	OZ251425.1	2750001	2800000	0.0098021615022799	27851	273	27851	4
PflaKGBDf	OZ251425.1	2750001	2800000	0.0088673487704182	27855	247	27855	0
PflaKGBHm	OZ251425.1	2750001	2800000	0.0045797122354044	27731	127	27731	124
PflaHELAf	OZ251425.1	2800001	2850000	0.0081646684714881	23271	190	23271	98
PflaKGBDf	OZ251425.1	2800001	2850000	0.0060777264167094	23364	142	23364	5
PflaKGBHm	OZ251425.1	2800001	2850000	0.0078308870726175	23369	183	23369	0
PflaHELEm	OZ251425.1	2800001	2850000	0.0087805713796205	23347	205	23347	22
PflaKGBDf	OZ251425.1	2850001	2900000	0.0058764636747486	22973	135	22973	7
PflaHELEm	OZ251425.1	2850001	2900000	0.0088772845953002	22980	204	22980	0
PflaKGBHm	OZ251425.1	2850001	2900000	0.0067363632387034	22861	154	22861	119
PflaHELAf	OZ251425.1	2850001	2900000	0.0067777340504613	22869	155	22869	111
PflaKGBHm	OZ251425.1	2900001	2950000	0.0054212554127314	29329	159	29329	0
PflaHELEm	OZ251425.1	2900001	2950000	0.0083876027140373	29329	246	29329	0
PflaKGBDf	OZ251425.1	2900001	2950000	0.0073306283882846	29329	215	29329	0
PflaHELAf	OZ251425.1	2900001	2950000	0.0058645027106277	29329	172	29329	0
PflaKGBHm	OZ251425.1	2950001	3000000	0.0068039140041384	28513	194	28513	1
PflaHELEm	OZ251425.1	2950001	3000000	0.0099600196394753	28514	284	28514	0
PflaKGBDf	OZ251425.1	2950001	3000000	0.006698463912464	28514	191	28514	0
PflaHELAf	OZ251425.1	2950001	3000000	0.0076453671880479	28514	218	28514	0
PflaKGBHm	OZ251425.1	3000001	3050000	0.005272028002247	23141	122	23141	0
PflaHELEm	OZ251425.1	3000001	3050000	0.0108897627587398	23141	252	23141	0
PflaKGBDf	OZ251425.1	3000001	3050000	0.0067087950138504	23104	155	23104	37
PflaHELAf	OZ251425.1	3000001	3050000	0.0055313080679313	23141	128	23141	0
PflaHELAf	OZ251425.1	3050001	3100000	0.0058132187539491	23739	138	23739	0
PflaKGBDf	OZ251425.1	3050001	3100000	0.0071612115084881	23739	170	23739	0
PflaHELEm	OZ251425.1	3050001	3100000	0.0084253096301289	23738	200	23738	1
PflaKGBHm	OZ251425.1	3050001	3100000	0.005181347150259	23739	123	23739	0
PflaKGBDf	OZ251425.1	3100001	3150000	0.0083220959352725	25955	216	25955	2
PflaKGBHm	OZ251425.1	3100001	3150000	0.0074738991408868	25957	194	25957	0
PflaHELEm	OZ251425.1	3100001	3150000	0.0092542608159173	25934	240	25934	23
PflaHELAf	OZ251425.1	3100001	3150000	0.0069827552949346	25921	181	25921	36
PflaHELEm	OZ251425.1	3150001	3200000	0.0108384343235806	17807	193	17807	0
PflaKGBDf	OZ251425.1	3150001	3200000	0.006851238277082	17807	122	17807	0
PflaHELAf	OZ251425.1	3150001	3200000	0.0062896613691245	17807	112	17807	0
PflaKGBHm	OZ251425.1	3150001	3200000	0.006401976750716	17807	114	17807	0
PflaKGBHm	OZ251425.1	3200001	3250000	0.005484731692855	20238	111	20238	11
PflaHELEm	OZ251425.1	3200001	3250000	0.0089880981776877	20249	182	20249	0
PflaKGBDf	OZ251425.1	3200001	3250000	0.0078082530269335	20235	158	20235	14
PflaHELAf	OZ251425.1	3200001	3250000	0.0079510099264161	20249	161	20249	0
PflaHELEm	OZ251425.1	3250001	3300000	0.0120823798627002	21850	264	21850	0
PflaKGBDf	OZ251425.1	3250001	3300000	0.0081006864988558	21850	177	21850	0
PflaHELAf	OZ251425.1	3250001	3300000	0.0076430205949656	21850	167	21850	0
PflaKGBHm	OZ251425.1	3250001	3300000	0.0077572753144221	21786	169	21786	64
PflaHELEm	OZ251425.1	3300001	3350000	0.009208858399821	26822	247	26822	1
PflaKGBHm	OZ251425.1	3300001	3350000	0.0067018607959863	26709	179	26709	114
PflaKGBDf	OZ251425.1	3300001	3350000	0.0058159042612683	26823	156	26823	0
PflaHELAf	OZ251425.1	3300001	3350000	0.0053685270104015	26823	144	26823	0
PflaKGBHm	OZ251425.1	3350001	3400000	0.0075936002598879	24626	187	24626	0
PflaHELEm	OZ251425.1	3350001	3400000	0.0101518720051977	24626	250	24626	0
PflaKGBDf	OZ251425.1	3350001	3400000	0.0072749441170493	24605	179	24605	21
PflaHELAf	OZ251425.1	3350001	3400000	0.0071063104036384	24626	175	24626	0
PflaHELEm	OZ251425.1	3400001	3450000	0.0082783268298019	27421	227	27421	81
PflaKGBDf	OZ251425.1	3400001	3450000	0.006075378346915	27488	167	27488	14
PflaHELAf	OZ251425.1	3400001	3450000	0.0065621582209259	27430	180	27430	72
PflaKGBHm	OZ251425.1	3400001	3450000	0.0050905388699003	27502	140	27502	0
PflaHELAf	OZ251425.1	3450001	3500000	0.0075778951187069	24809	188	24809	0
PflaHELEm	OZ251425.1	3450001	3500000	0.0112862267725422	24809	280	24809	0
PflaKGBHm	OZ251425.1	3450001	3500000	0.0075778951187069	24809	188	24809	0
PflaKGBDf	OZ251425.1	3450001	3500000	0.0074972792131887	24809	186	24809	0
PflaHELEm	OZ251425.1	3500001	3550000	0.0101551480959097	24815	252	24815	0
PflaHELAf	OZ251425.1	3500001	3550000	0.0057626435623614	24815	143	24815	0
PflaKGBHm	OZ251425.1	3500001	3550000	0.0065283094902276	24815	162	24815	0
PflaKGBDf	OZ251425.1	3500001	3550000	0.0086641144469071	24815	215	24815	0
PflaKGBHm	OZ251425.1	3550001	3600000	0.0064935064935064	20944	136	20944	2
PflaHELEm	OZ251425.1	3550001	3600000	0.0090530248598936	20877	189	20877	69
PflaKGBDf	OZ251425.1	3550001	3600000	0.006158693784016	20946	129	20946	0
PflaHELAf	OZ251425.1	3550001	3600000	0.0081366965012205	20893	170	20893	53
PflaKGBHm	OZ251425.1	3600001	3650000	0.0040307101727447	31260	126	31260	0
PflaHELEm	OZ251425.1	3600001	3650000	0.0117722328854766	31260	368	31260	0
PflaKGBDf	OZ251425.1	3600001	3650000	0.0066538707613563	31260	208	31260	0
PflaHELAf	OZ251425.1	3600001	3650000	0.0082853486884197	31260	259	31260	0
PflaHELAf	OZ251425.1	3650001	3700000	0.0051974104130573	32901	171	32901	35
PflaKGBHm	OZ251425.1	3650001	3700000	0.0036405910606663	32687	119	32687	249
PflaHELEm	OZ251425.1	3650001	3700000	0.0078421836529985	32899	258	32899	37
PflaKGBDf	OZ251425.1	3650001	3700000	0.0060768108896451	32912	200	32912	24
PflaKGBHm	OZ251425.1	3700001	3750000	0.0063263204354862	27188	172	27188	15
PflaHELEm	OZ251425.1	3700001	3750000	0.0105135463000404	27203	286	27203	0
PflaKGBDf	OZ251425.1	3700001	3750000	0.0066904385545711	27203	182	27203	0
PflaHELAf	OZ251425.1	3700001	3750000	0.0079770613535271	27203	217	27203	0
PflaKGBDf	OZ251425.1	3750001	3800000	0.0085015063348603	24231	206	24231	0
PflaHELAf	OZ251425.1	3750001	3800000	0.0076199942021783	24147	184	24147	84
PflaKGBHm	OZ251425.1	3750001	3800000	0.0070570756468986	24231	171	24231	0
PflaHELEm	OZ251425.1	3750001	3800000	0.0111014815731913	24231	269	24231	0
PflaKGBDf	OZ251425.1	3800001	3850000	0.0047549632097737	28812	137	28812	18
PflaHELAf	OZ251425.1	3800001	3850000	0.0074575095386749	28830	215	28830	0
PflaKGBHm	OZ251425.1	3800001	3850000	0.0047624013626725	28767	137	28767	63
PflaHELEm	OZ251425.1	3800001	3850000	0.0086715227193895	28830	250	28830	0
PflaHELAf	OZ251425.1	3850001	3900000	0.0051575931232091	33155	171	33155	0
PflaKGBDf	OZ251425.1	3850001	3900000	0.0063942090182476	33155	212	33155	0
PflaHELEm	OZ251425.1	3850001	3900000	0.0073895340069371	33155	245	33155	0
PflaKGBHm	OZ251425.1	3850001	3900000	0.0053385613029708	33155	177	33155	0
PflaHELAf	OZ251425.1	3900001	3950000	0.0052344105598543	30758	161	30758	0
PflaKGBHm	OZ251425.1	3900001	3950000	0.0058869446432056	30746	181	30746	12
PflaHELEm	OZ251425.1	3900001	3950000	0.0089082515118018	30758	274	30758	0
PflaKGBDf	OZ251425.1	3900001	3950000	0.0054294817608427	30758	167	30758	0
PflaKGBHm	OZ251425.1	3950001	4000000	0.003947621798575	31158	123	31158	0
PflaHELEm	OZ251425.1	3950001	4000000	0.0066435586366262	31158	207	31158	0
PflaHELAf	OZ251425.1	3950001	4000000	0.0031131651582258	31158	97	31158	0
PflaKGBDf	OZ251425.1	3950001	4000000	0.0039797162847422	31158	124	31158	0
PflaHELAf	OZ251425.1	4000001	4050000	0.0051673447569269	33673	174	33673	0
PflaKGBDf	OZ251425.1	4000001	4050000	0.0043655153980934	33673	147	33673	0
PflaHELEm	OZ251425.1	4000001	4050000	0.0066819113236123	33673	225	33673	0
PflaKGBHm	OZ251425.1	4000001	4050000	0.0036230808065809	33673	122	33673	0
PflaKGBHm	OZ251425.1	4050001	4100000	0.003433975222548	37857	130	37857	0
PflaHELEm	OZ251425.1	4050001	4100000	0.0068415352510764	37857	259	37857	0
